district,school.year,total.revenue,total.revenue.per.pupil,local.revenue.per.pupil,local.percent.total.revenue,state.revenue.per.pupil,state.percent.total.revenue,federal.revenue.per.pupil,federal.percent.total.revenue,other.revenue.per.pupil,other.percent.total.revenue
Aberdeen School District,2012-13,35708412,11048.09,1779.26,16.1,7756.87,70.2,1442.34,13.1,69.62,0.6
Adna School District,2012-13,5767912,10378.98,1450.35,14,7129.66,68.7,835.83,8.1,963.14,9.3
Almira School District,2012-13,2131674,27705.67,2745.49,9.9,23606.00,85.2,1241.85,4.5,112.33,0.4
Anacortes School District,2012-13,25564614,9870.05,3082.39,31.2,5982.45,60.6,554.10,5.6,251.11,2.5
Arlington School District,2012-13,47902952,9172.35,2394.80,26.1,6272.94,68.4,500.37,5.5,4.24,0
Asotin-Anatone School District,2012-13,6145174,10404.44,2522.79,24.2,7254.71,69.7,626.95,6,0.00,-
Auburn School District,2012-13,140016041,9773.90,2474.15,25.3,6357.82,65,896.85,9.2,45.07,0.5
Bainbridge Island School District,2012-13,36448175,9767.10,3262.46,33.4,6075.32,62.2,365.98,3.7,63.33,0.6
Battle Ground School District,2012-13,116631787,9245.51,2055.81,22.2,6590.20,71.3,595.87,6.4,3.64,0
Bellevue School District,2012-13,193602285,10594.28,3806.47,35.9,5864.26,55.4,603.78,5.7,319.76,3
Bellingham School District,2012-13,104371686,9784.96,2903.57,29.7,6113.66,62.5,624.04,6.4,143.70,1.5
Benge School District,2012-13,376082,34189.30,2678.02,7.8,30151.62,88.2,1294.28,3.8,65.36,0.2
Bethel School District,2012-13,165973647,9449.41,1981.26,21,6754.00,71.5,702.41,7.4,11.74,0.1
Bickleton School District,2012-13,1738495,17446.01,1291.77,7.4,15615.55,89.5,538.69,3.1,0.00,-
Blaine School District,2012-13,21074449,10120.27,2961.48,29.3,6320.62,62.5,796.00,7.9,42.17,0.4
Boistfort School District,2012-13,1280058,14432.95,3225.40,22.3,9305.58,64.5,1854.81,12.9,47.16,0.3
Bremerton School District,2012-13,51518380,10147.33,2376.85,23.4,6484.55,63.9,1240.35,12.2,45.58,0.4
Brewster School District,2012-13,9961138,10579.96,1107.44,10.5,7452.24,70.4,1994.96,18.9,25.32,0.2
Bridgeport School District,2012-13,7796158,9834.45,379.39,3.9,7803.72,79.4,1645.03,16.7,6.31,0.1
Brinnon School District,2012-13,907558,24708.91,8209.63,33.2,14091.85,57,2407.43,9.7,0.00,-
Burlington-Edison School District,2012-13,37194408,10043.67,2494.90,24.8,6508.23,64.8,997.79,9.9,42.74,0.4
Camas School District,2012-13,54043295,8821.31,2231.06,25.3,6218.30,70.5,371.62,4.2,0.32,0
Cape Flattery School District,2012-13,7420072,17039.62,1187.70,7,10025.25,58.8,5821.87,34.2,4.79,0
Carbonado School District,2012-13,1918999,11207.14,3175.23,28.3,7465.71,66.6,543.66,4.9,22.54,0.2
Cascade School District,2012-13,11889327,9298.42,2150.18,23.1,6494.11,69.8,653.97,7,0.16,0
Cashmere School District,2012-13,13262413,9274.28,1826.94,19.7,6632.50,71.5,808.89,8.7,5.94,0.1
Castle Rock School District,2012-13,11954480,9384.75,1730.04,18.4,6797.04,72.4,857.66,9.1,0.00,-
Centerville School District,2012-13,1014944,13164.00,4029.77,30.6,8081.06,61.4,1053.16,8,0.00,-
Central Kitsap School District,2012-13,111099536,10162.49,2154.32,21.2,6710.14,66,1185.15,11.7,112.88,1.1
Central Valley School District,2012-13,114555794,9175.19,2103.08,22.9,6450.44,70.3,595.86,6.5,25.81,0.3
Centralia School District,2012-13,34129336,9765.78,1650.48,16.9,6548.15,67.1,1221.13,12.5,346.02,3.5
Chehalis School District,2012-13,29193142,10966.25,1838.04,16.8,7440.69,67.9,1023.58,9.3,663.94,6.1
Cheney School District,2012-13,38790938,9556.51,2229.48,23.3,6548.54,68.5,765.36,8,13.13,0.1
Chewelah School District,2012-13,8366889,10248.89,1501.38,14.6,7132.27,69.6,1439.64,14,175.59,1.7
Chimacum School District,2012-13,10637208,10297.89,2521.31,24.5,6610.08,64.2,985.39,9.6,181.11,1.8
Clarkston School District,2012-13,25891487,9803.82,1834.25,18.7,6752.65,68.9,1204.96,12.3,11.95,0.1
Cle Elum-Roslyn School District,2012-13,8456592,9392.25,2603.13,27.7,5972.67,63.6,769.97,8.2,46.47,0.5
Clover Park School District,2012-13,131152689,10941.09,1866.34,17.1,7245.94,66.2,1776.38,16.2,52.43,0.5
Colfax School District,2012-13,6110948,10119.31,2144.56,21.2,7315.56,72.3,603.84,6,55.35,0.5
College Place School District,2012-13,8981705,11994.48,3753.16,31.3,6706.91,55.9,1494.18,12.5,40.23,0.3
Colton School District,2012-13,2614173,15558.70,3710.65,23.8,11240.90,72.2,604.92,3.9,2.23,0
Columbia (Stevens) School District,2012-13,2929866,17082.77,802.92,4.7,13351.15,78.2,2638.15,15.4,290.55,1.7
Columbia (Walla Walla) School District,2012-13,8562042,10161.58,2696.07,26.5,6690.99,65.8,753.74,7.4,20.77,0.2
Colville School District,2012-13,18460411,10197.54,1438.15,14.1,7679.14,75.3,1055.32,10.3,24.94,0.2
Concrete School District,2012-13,6802427,12844.46,3203.64,24.9,8035.30,62.6,1591.63,12.4,13.89,0.1
Conway School District,2012-13,4375501,10403.99,3477.45,33.4,6321.86,60.8,604.67,5.8,0.00,-
Cosmopolis School District,2012-13,1829347,14623.07,5240.66,35.8,7837.89,53.6,1434.87,9.8,109.66,0.7
Coulee-Hartline School District,2012-13,3000481,15127.97,2573.03,17,10575.36,69.9,1104.99,7.3,874.59,5.8
Coupeville School District,2012-13,8855628,9433.73,2681.73,28.4,6200.25,65.7,579.70,6.1,-27.96,-
Crescent School District,2012-13,3222278,10124.99,1618.68,16,7639.87,75.5,863.34,8.5,3.09,0
Creston School District,2012-13,2110226,22889.97,4084.95,17.8,17700.93,77.3,1002.62,4.4,101.46,0.4
Curlew School District,2012-13,2658320,12761.98,1044.47,8.2,9920.68,77.7,1681.70,13.2,115.12,0.9
Cusick School District,2012-13,3260206,12130.10,1434.55,11.8,8541.74,70.4,2124.18,17.5,29.63,0.2
Damman School District,2012-13,510518,12331.36,5062.01,41,7269.34,59,0.00,-,0.00,-
Darrington School District,2012-13,5220421,12432.53,3084.09,24.8,7891.26,63.5,1442.21,11.6,14.98,0.1
Davenport School District,2012-13,5769633,11005.71,2126.77,19.3,8165.20,74.2,713.74,6.5,0.00,-
Dayton School District,2012-13,5788932,13274.02,3829.29,28.8,8466.28,63.8,960.69,7.2,17.76,0.1
Deer Park School District,2012-13,21976612,8880.05,918.48,10.3,6873.73,77.4,906.07,10.2,181.78,2
Dieringer School District,2012-13,14589773,10224.02,3797.27,37.1,6021.60,58.9,339.09,3.3,66.05,0.6
Dixie School District,2012-13,740044,23126.39,7676.95,33.2,14578.87,63,870.57,3.8,0.00,-
East Valley School District (Spokane),2012-13,44249875,9809.11,2223.17,22.7,6820.43,69.5,765.51,7.8,0.00,-
East Valley School District (Yakima),2012-13,26513591,9231.88,1623.35,17.6,6704.93,72.6,902.89,9.8,0.71,0
Eastmont School District,2012-13,51712166,9483.93,1707.56,18,6859.93,72.3,895.69,9.4,20.74,0.2
Easton School District,2012-13,2047276,23709.05,4485.70,18.9,17880.67,75.4,1258.89,5.3,83.79,0.4
Eatonville School District,2012-13,17799774,9564.63,2628.60,27.5,6409.47,67,526.56,5.5,0.00,-
Edmonds School District,2012-13,191462594,9631.09,2661.72,27.6,6216.74,64.5,607.21,6.3,145.42,1.5
Ellensburg School District,2012-13,27070389,9350.45,2261.82,24.2,6273.00,67.1,774.10,8.3,41.53,0.4
Elma School District,2012-13,16626896,11084.23,2190.47,19.8,7280.01,65.7,909.52,8.2,704.23,6.4
Endicott School District,2012-13,2187142,25779.61,3282.96,12.7,21406.01,83,828.82,3.2,261.82,1
Entiat School District,2012-13,3929654,11797.22,1842.91,15.6,8702.82,73.8,1137.46,9.6,114.02,1
Enumclaw School District,2012-13,42097479,9763.02,2710.79,27.8,6456.08,66.1,578.54,5.9,17.61,0.2
Ephrata School District,2012-13,21487658,9659.63,1758.33,18.2,6919.09,71.6,956.72,9.9,25.50,0.3
Evaline School District,2012-13,547671,12063.24,4227.64,35,6548.05,54.3,1109.18,9.2,178.36,1.5
Everett School District,2012-13,186099045,10290.07,2708.45,26.3,6721.30,65.3,802.26,7.8,58.06,0.6
Evergreen School District (Clark),2012-13,243007586,9303.14,1817.87,19.5,6796.56,73.1,673.23,7.2,15.48,0.2
Evergreen School District (Stevens),2012-13,407460,20526.95,104.72,0.5,16139.72,78.6,4282.51,20.9,0.00,-
Federal Way School District,2012-13,206907685,9737.93,2333.07,24,6528.26,67,849.85,8.7,26.75,0.3
Ferndale School District,2012-13,49467070,9853.61,2503.40,25.4,6499.47,66,827.91,8.4,22.83,0.2
Fife School District,2012-13,32676177,9456.75,2486.27,26.3,6097.92,64.5,760.60,8,111.95,1.2
Finley School District,2012-13,9432894,10385.90,1909.36,18.4,7486.45,72.1,972.87,9.4,17.22,0.2
Franklin Pierce School District,2012-13,75405316,10309.93,2145.99,20.8,6764.58,65.6,1379.02,13.4,20.35,0.2
Freeman School District,2012-13,8709577,9899.50,2085.39,21.1,6961.79,70.3,409.04,4.1,443.28,4.5
Garfield School District,2012-13,2264160,21598.40,2680.92,12.4,16986.81,78.6,1279.26,5.9,651.41,3
Glenwood School District,2012-13,1936900,31872.64,2876.64,9,26508.59,83.2,1043.04,3.3,1444.37,4.5
Goldendale School District,2012-13,10656019,11236.61,2647.90,23.6,6588.16,58.6,1074.92,9.6,925.64,8.2
Grand Coulee Dam School District,2012-13,8351041,13329.25,2077.67,15.6,7683.47,57.6,3536.72,26.5,31.39,0.2
Grandview School District,2012-13,33290591,9528.59,513.68,5.4,7309.64,76.7,1703.19,17.9,2.07,0
Granger School District,2012-13,15372746,10337.54,481.33,4.7,7783.76,75.3,2061.93,19.9,10.52,0.1
Granite Falls School District,2012-13,19391674,9586.46,2347.86,24.5,6567.81,68.5,664.82,6.9,5.97,0.1
Grapeview School District,2012-13,2014694,9859.52,3326.84,33.7,5883.88,59.7,648.79,6.6,0.00,-
Great Northern School District,2012-13,611047,14030.93,3867.98,27.6,9218.41,65.7,944.54,6.7,0.00,-
Green Mountain School District,2012-13,1631968,10989.69,3555.54,32.4,6641.07,60.4,668.08,6.1,125.00,1.1
Griffin School District,2012-13,6863623,11133.03,4007.60,36,6593.06,59.2,501.81,4.5,30.56,0.3
Harrington School District,2012-13,2402381,24723.48,5425.72,21.9,17815.60,72.1,1306.61,5.3,175.55,0.7
Highland School District,2012-13,12017323,9685.30,1305.65,13.5,7157.98,73.9,1221.67,12.6,0.00,-
Highline School District,2012-13,191457337,10474.38,2721.09,26,6460.80,61.7,1123.65,10.7,168.84,1.6
Hockinson School District,2012-13,16244796,9002.58,2217.41,24.6,6561.42,72.9,222.87,2.5,0.88,0
Hood Canal School District,2012-13,4271474,14742.95,4321.49,29.3,7261.51,49.3,3091.77,21,68.18,0.5
Hoquiam School District,2012-13,16998134,10585.26,1944.53,18.4,6926.41,65.4,1300.92,12.3,413.41,3.9
Inchelium School District,2012-13,3603732,16731.97,367.71,2.2,9557.05,57.1,6784.23,40.5,22.98,0.1
Index School District,2012-13,653286,30613.21,9403.64,30.7,19368.74,63.3,1813.60,5.9,27.23,0.1
Issaquah School District,2012-13,161562279,9176.34,3123.22,34,5737.30,62.5,303.16,3.3,12.66,0.1
Kahlotus School District,2012-13,1941924,36640.07,3205.36,8.7,31655.45,86.4,1537.29,4.2,241.97,0.7
Kalama School District,2012-13,7777188,8382.49,2085.74,24.9,5782.00,69,446.56,5.3,68.18,0.8
Keller School District,2012-13,1153060,45485.59,1488.64,3.3,21787.49,47.9,22048.47,48.5,160.99,0.4
Kelso School District,2012-13,45749523,9630.12,1749.19,18.2,6854.79,71.2,1007.82,10.5,18.33,0.2
Kennewick School District,2012-13,149195827,9064.36,1445.69,15.9,6795.84,75,792.18,8.7,30.65,0.3
Kent School District,2012-13,252491303,9474.45,2468.84,26.1,6198.88,65.4,796.28,8.4,10.44,0.1
Kettle Falls School District,2012-13,8220571,9109.47,1375.95,15.1,6782.86,74.5,930.41,10.2,20.26,0.2
Kiona-Benton City School District,2012-13,13741326,9749.98,1857.59,19.1,6946.29,71.2,946.05,9.7,0.04,0
Kittitas School District,2012-13,6535365,10285.76,2404.91,23.4,7013.29,68.2,848.46,8.2,19.10,0.2
Klickitat School District,2012-13,2226909,23298.90,1167.21,5,19573.99,84,1645.06,7.1,912.64,3.9
La Center School District,2012-13,13129928,8717.83,2048.86,23.5,6360.49,73,266.45,3.1,42.04,0.5
La Conner School District,2012-13,8503148,13976.02,3285.50,23.5,6415.59,45.9,4187.79,30,87.14,0.6
LaCrosse School District,2012-13,2342739,28528.24,6993.11,24.5,20831.97,73,703.16,2.5,0.00,-
Lake Chelan School District,2012-13,14521386,10653.13,2206.09,20.7,7018.17,65.9,1220.62,11.5,208.25,2
Lake Quinault School District,2012-13,3088854,19614.27,3202.93,16.3,13210.92,67.4,3074.46,15.7,125.95,0.6
Lake Stevens School District,2012-13,70700544,9006.90,1903.85,21.1,6522.33,72.4,468.90,5.2,111.81,1.2
Lake Washington School District,2012-13,233110479,9372.31,2862.97,30.5,5831.50,62.2,441.93,4.7,235.91,2.5
Lakewood School District,2012-13,21359560,9598.90,2752.51,28.7,6238.37,65,513.45,5.3,94.56,1
Lamont School District,2012-13,695118,23887.22,4903.93,20.5,17372.57,72.7,1507.75,6.3,102.98,0.4
Liberty School District,2012-13,5323625,13126.28,3613.84,27.5,8549.21,65.1,960.24,7.3,2.99,0
Lind School District,2012-13,3826263,20779.10,5150.17,24.8,14207.43,68.4,1361.89,6.6,59.61,0.3
Longview School District,2012-13,65334071,10120.17,2506.96,24.8,6487.71,64.1,1105.26,10.9,20.24,0.2
Loon Lake School District,2012-13,1662553,8015.39,1157.18,14.4,5182.19,64.7,1676.02,20.9,0.00,-
Lopez School District,2012-13,3432242,15883.39,4374.35,27.5,10059.12,63.3,1025.18,6.5,424.74,2.7
Lyle School District,2012-13,3046824,11540.56,834.03,7.2,9240.24,80.1,1052.68,9.1,413.60,3.6
Lynden School District,2012-13,24342110,8950.13,2025.52,22.6,6217.56,69.5,689.60,7.7,17.44,0.2
Mabton School District,2012-13,9463398,10484.37,424.94,4.1,8120.67,77.5,1938.76,18.5,0.00,-
Mansfield School District,2012-13,1996546,21033.99,1611.75,7.7,18425.02,87.6,997.21,4.7,0.00,-
Manson School District,2012-13,7204709,11235.06,2020.69,18,7481.83,66.6,1652.70,14.7,79.84,0.7
Mary M Knight School District,2012-13,2807687,14875.95,3283.18,22.1,10368.01,69.7,1224.76,8.2,0.00,-
Mary Walker School District,2012-13,5933487,10694.82,801.05,7.5,8264.05,77.3,1531.81,14.3,97.92,0.9
Marysville School District,2012-13,112542828,10279.35,2374.31,23.1,6766.88,65.8,914.57,8.9,223.58,2.2
McCleary School District,2012-13,3136366,10824.39,2449.55,22.6,7098.39,65.6,1276.44,11.8,0.00,-
Mead School District,2012-13,83643787,9058.46,2044.79,22.6,6495.09,71.7,514.20,5.7,4.38,0
Medical Lake School District,2012-13,17669208,9733.06,752.62,7.7,7150.31,73.5,1828.14,18.8,2.00,0
Mercer Island School District,2012-13,43378281,10451.67,4110.03,39.3,5914.16,56.6,349.21,3.3,78.27,0.7
Meridian School District,2012-13,17721648,7823.19,1588.85,20.3,5700.18,72.9,475.34,6.1,58.82,0.8
Methow Valley School District,2012-13,6548169,11771.99,3484.67,29.6,7175.12,61,711.03,6,401.17,3.4
Mill A School District,2012-13,628459,23626.27,697.63,3,17556.67,74.3,4114.73,17.4,1257.24,5.3
Monroe School District,2012-13,63435507,8945.51,2306.10,25.8,6224.49,69.6,405.37,4.5,9.55,0.1
Montesano School District,2012-13,11585206,9378.61,2138.92,22.8,6514.94,69.5,687.50,7.3,37.25,0.4
Morton School District,2012-13,4110690,14033.01,2610.57,18.6,8381.13,59.7,3041.31,21.7,0.00,-
Moses Lake School District,2012-13,72219395,9348.44,1766.58,18.9,6610.75,70.7,930.31,10,40.80,0.4
Mossyrock School District,2012-13,5267555,10178.06,1825.45,17.9,7275.18,71.5,1067.83,10.5,9.60,0.1
